"REF_DATE","GEO","DGUID","Funder","Performer","Science type","Prices","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2084","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2414","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2496","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2532","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2599","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2762","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2863","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2520","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2428","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2551","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2606","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2027","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2003","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2207","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2329","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2317","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2779","","","","0"
"2021","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2373","","","","0"
"2022","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2469","","","","0"
"2023","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2597","","","","0"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","164","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","253","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","256","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","254","","","","0"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","265","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","280","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","310","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","335","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","364","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","352","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","325","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","300","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","312","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","299","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","307","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","285","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","290","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","300","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","339","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","350","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","374","","","","0"
"2021","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","414","","","","0"
"2022","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","423","","","","0"
"2023","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617505","1.1.3.2.1","435","","","","0"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","66","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","23","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","26","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","24","","","","0"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","25","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","23","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","22","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","57","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","38","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","33","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","35","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","32","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","36","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","32","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","31","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","33","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","34","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","34","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","38","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","39","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","39","","","","0"
"2021","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","39","","","","0"
"2022","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","48","","","","0"
"2023","Canada","2016A000011124","Funder: total, all sectors","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617526","1.1.4.2.1","47","","","","0"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","12395","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","14266","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","13545","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","14094","","","","0"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","15144","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","15638","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16474","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16756","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16644","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16038","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","15803","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16894","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16700","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","16598","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","18207","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","17954","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","18723","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","19032","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","20857","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","21920","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","23679","","","","0"
"2021","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","27287","","","","0"
"2022","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","28229","","","","0"
"2023","Canada","2016A000011124","Funder: total, all sectors","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617624","1.1.6.2.1","28915","","","","0"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","5793","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","6423","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","7455","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","8144","","","","0"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","9058","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","9518","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","9625","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","10187","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","10927","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","10818","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","11244","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","11832","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","12769","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","12819","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","12905","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","13252","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","13816","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","14365","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","15105","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","15811","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","15909","","","","0"
"2021","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","16624","","","","0"
"2022","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","16814","","","","0"
"2023","Canada","2016A000011124","Funder: total, all sectors","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617679","1.1.7.2.1","16982","","","","0"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","58","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","63","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","63","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","93","","","","0"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","104","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","149","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","152","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","171","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","179","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","125","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","135","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","127","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","151","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","158","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","153","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","159","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","156","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","175","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","171","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","183","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617750","1.1.8.2.1","167","","","","0"
